session,corpus
1076,"I think the bottom portion could use some filling-out, and some color.  #Right now, it looks like one of those pages you get when you type in the wrong address for a website, and GoDaddy, or whoever is advertising for the domain name to be bought.  #The Bottom right-hand section that's gray looks like those deceptive advertisement links that are so ubiquitous on the net.   "
1078,"I don't like the font it is too stale and dates.#  Also the yellow color on the font is gross.#  I like the sillouhettes, but not really a fan of the color.  #I think red would be better."
1080,GO Ahead seems very disconnected from grow. The text isn't well balanced.
1080,Campus Arts Events section deserves more prominence.
1080,Extra links in this menu like and Events calendar and a map could be good.
1080,"Logo looks professional, but reminds me of a bank or law firm, for some reason. "
1080,The color scheme of these boxes seems drab abnd out of place with all the nice greens.
1080,I think the photo is good. Racial and gender diversity is nice.# But maybe another image with multiple students? Promote a sense of community.
1084,simple sleek design looks easy enough to use to transfer money
1087,"Super application#
EaSY TO Pay"
1087,Procedure is little clumsy
1087,Wow..Charging also easy
1087,Its very useful to pay and charge
1089,"I like the number and organization of the links and having different ways of organizing things, by visitor type on the left, and by subject type on top, while also having a drop-down menu for quicklinks.  #I think that the idea behind the design is solid,# however, the design comes off a little segmented and boxy. # The idea of listing news and campus events is good, but it feels visually distinct from the rest of the site.#  Plus, I don't know what the large center image is referring to, future or current students. # And finally, bottom left box is unnecessary filler and visually distracts from the rest of the design."
1091,It is a good design but# i have some suggestions change the theme color green to blue# then change the lady in the pic add a cute girl
1097,"I like the header, and the silhouette of the dancers is well done, too. #But I think the text on the left-hand side should align better, everything just appears to float independently, which I know is intentional, but in this case, it doesn't look quite right.# If it were up to me, I'd make the poster narrower, #and place the location and description as a more compact single column."
1098,"I like this section.  It looks nice.
"
1098,This area is just about right.  Not too many categories.
1098,Could do without the Go Ahead and Arrow.  Should just say Visit Us.
1098,Shouldn't say Go Ahead again.  That's just a repeat of above.  Doesn't look right.  Get ahead is out of place too.
1098,This menu looks OK.
1098,Good message:  Go Ahead Grow.  Looks good.
1098,Color doesn't match the rest.
1103,Very interesting design.# Contrast colors attract attention.# I may propose to change text layout for better separation of information
1104,change the font color to black
1108,Face should be more attractive #and need multi colour 
1109,"The clip art figures are just bad, you could easily put a quality photo in that space.# Lot of black negative space and the grey text on the black background on the lower right doesn't pop out or catch the eye at all,# and the tan letters aren't much better on a black background. #Looks like something cheap and from the early 90's design era."
1114,"Site is very well laid out with a clean design that's easy to read, understand and navigate.#The text colors come off the background very well and show good readability. #I work on sites and I don't really see anything that I would change at all except for the wasted space at the bottom of the left column, make that a dynamic box to end where the widget ends, or use that space for another widget, maybe some social media links because they're important to that age group."
1116,"Below in the news and campus events red color fonts are used it is not look good use font color white .#
and in the left side at bottom the last part are not looking good please use the different image .#
at left side - coming to parkland is in green color use the black color.
"
1117,"I feel like there is a lot of small text all over this page and it's a little hard to find what you need right away.# I think the ""In the News"" and ""Campus Events"" don't really necessarily need to be displayed on the home page, they just kind of add clutter to an already busy page.# The layout with the different boxes feels a little unorganized #and the ads on the left side are a little strange as well.# I would make the subjects on top in the dark green boxes a lot bigger since they are probably the most important and what people will be searching for the most. "
1118,looks like facebook (not good)
1122,"The letter head is really very good
"
1122,The navigation is easy and simple
1122,The colors and font style is attractive.
1123,The design looks very much professional and attractive.# The navigation is also very simple#. The design is already very good and there is no need for improvement.
1124,The face of the model is clear
1124,The navigation area is simply good.
1124,Perfect location to post
1127,"The Design of the website is good and accurate, but still it need some more improvement, description are below.#
1) It is good to see the Video of any grand events or any similar to this is more attractive than a plain Homepage.#
2) The Student Life section should looks more familiar.#
3) The Webpage looks good if you add site map/navigation for your address, this will help full for far away students to reach-out without any interference.#
4) Add more Section or Headlines#
5) Add Feedback Section for Student Life."
1128,"Clean design and I do enjoy the colors.# However, it does look a bit Facebook-ish to me.# I think the Like button is redundant.# Making the Public, Friends, and Mine buttons more visible. #I also wouldn't want my other friends to know about my transactions. Are there options for privacy?"
1130,"Clean design#, but Public, Friends, and Mine buttons could be more visible. #It looks too similar to Facebook. #Omitting the Like button would help. #I also wonder if there are privacy options, because I would not want my other friends to see my transactions."
1133,"I think they could make it look a bit more professional in order to attract students. #To me, the fonts and layout are a bit juvenile and not college looking"
1134,"Links for older Achievements can be provided.#Also ""Contact us"" link which re-directs to phone number and email address should be provided."
1137,Dance open house 2015 must be written in same colour(violet).# In 7 pm Friday August 28 7 I'd not clearclear.# While providing address please include the city and state for more proper address 
1139,"I can see the white spots from editing the purple/black cut-outs of the people that are dancing.# I'm not sure if it's just the tint from my computer screen, but the color of ""OPEN HOUSE 2015"" is not a pleasant color to look at. It hurts my eyes and would immediately make me want to stop looking at it.# I would suggest making that specific text a little bit darker to seem more appealing."
1145,"IF YOU VIEW YOUR COLLEGE BUILDING FACILITY THAT IS LAB , CLASSROOM, AND STUDENTS IN THE CLASSROOM IT WILL BE MORE ATTRACTED."
1147,The writings are very formal.#Putting some emoji would help.#background color and the couple color does not blend well.
1149,"I like the logo at the top. The font for it is really nice, as is the spacing of the words# but I don't like the space between the very top of the image and the beginning of the logo. #I also feel as if there is too much space between the end of the text and bottom of the image. #The art in the image is nice and I like the colors,# it does have some strange white spots on it, though."
1150,Another banner or upcoming event should be here to take advantage of the open menu.
1150,"This should be a more noticeable graphic,# but the color difference in ""COMING TO PARKLAND?"" is a nice touch without it."
1153,some what clear image needed
1153,characters need to be in small font size
1153,not clear
1153,it can be enlarged and move at the top corner
1153,menu looks very nice
1153,this area can be larger in size
1153,this area looks very shaded.#it can be colored differently in bright manner
1157,"I think the design, and layout is fresh and appealing. I would definitely be persuaded to check these programs out.
"
1159,"The color scheme of the design needs a little bit improvement. See various poster in Google you will find the best color schemes.# In this color scheme you want to keep black background, then you should also present some part of the poster in shining pink colors. There is no shine as this is a ball room dance program. #See the url image below, you will get more clear idea of color schemes.
Url: http://www.utahballroom.org/files/concerts/2008/UVU_WinterConcert08_Poster.jpg"
1161,i don't like this background color so try to change the color
1164,"I like the different shades of green as the main focus color.# I also like that there is color contrast, especially how the color of the lettering in the ""In the News"" and ""Campus Events"" columns coordinate with the image in the lower left corner. #There are issues with that for me though, for some reason, the lettering in that particular color is more difficult to read that the other small lettering.# Maybe it should be larger or brighter? #To elaborate on the lower left corner, it seems the info that appears to give dates on a Shakespeare performance (hard to read) should be larger-it just makes sense to expand it and fill the empty tan space below it rather than cramping so much info into a too-small space.# I also feel like there should be more info on the main page regarding the institute instead of just it's name, ideally a location(s, if applicable), along with pertinent address info and telephone numbers where calls with general questions can be directed and subsequently routed to the correct dept. at the school."
1168,Too much space being taken up by the graphic# and not enough interactive elements like a video. # Id make the site have more useful information right away directing people based on what group of people they are.
1169,"comments on other people's transactions? don't understand why someone would want to do that, you pay because you need to pay for something, it;s not like expressing an opinion or participating in a conversation"
1169,"these 'progress' bars are really annoying, I know that it supposed to be an encouragement to part with my private details, but it;s just getting boring and repetitive to see it on every site"
1169,"don't really understand the concept of revealing how much I pay to whom, seems like a really poor excuse for another clone of 'social' network site"
1170,This link is unnecessary. There is already a search box on the left that allows people to search their friends. 
1170,There is no privacy on this page. I am able to see so many transactions of my friends. Only my transactions should be visible on this page. 
1171,"The font  color is not very good,my point view it should be black"
1171,logo is in right section but some changes is require in logo
1171,I think menus is not placed in right format
1180,"Looking nice design.# In my suggestion Please try to different font on ("" Join us .... across 4 styles of ballroom Dance!""). #Please highlight this.# Time and place put in to bottom. #Also, Logo much bigger its good."
1182,"I feel the design is basic, maybe too basic. #I think some more colorful or interesting graphics would make this plain page look more inviting."
1186,"The overall color and design is good and neat, #But it will be more attractive if you choose some dark colors."
1193,very easy to understand and fulfill the needs.#Also good look and design.
1196,"I like that it is simple #but I feel it would work better if the colors contrasted each other in a better fashion. Perhaps use one brighter or livelier color? #I also felt the details under time/place would look better if it was aligned to the left and maybe boldened. 
 "
1199,The content of the letters and font should me improved# otherwise it is cool and simple.
1202,The logo should be bigger and not off to the corner.
1202,Her smile looks fake. Maybe someone a bit more realistic should be used.# How about a group of students to show diversity. 
1210,the background should be little more colourful and can apply little more design also.
1213,design is absolutely good and entertaining and it looks attractive.#Nothing should be improved in my opinion.
1215,"It looks very boring, the color scheme is dull and there's no sense of interactivity."
1217,The website is too greenish.# Color should be changed.# Font is small. #Size of font should be increased. #Underlines in the 'In the news' and 'campus events'  sections should be avoided.
1219,"I would consolidate the options on the left (Information For:) into the Quicklinks drop-down, #and move the options at the top right (Experience Parkland, etc.) to the left of the page. This would lead to a less-cluttered layout. #The Shakespeare banner is busy and the text is too small. #Overall the site is run of the mill and not offensive, but could be cleaner-looking."
1224,The way that all of this stuff is line up seems choppy. I would work on how this space is used.
1224,"Move this to the right to line up with the information text above it (place/location info). Right-align, maybe?"
1224,Can't read text in logo
1224,"There's a weird, faint, white line here?"
1225,I would use a more festive font or perhaps be more colorful do advertise for something like a dance 
1225,Why is this in itallics?
1225,This should be larger text and a more contrasting color to the black background.  
1225,"If you're limited on the colors you can use, I'd pick something besides light purple.  Otherwise, I would redesign this with more than two colors, or pick a color that is both warm and bright. "
1225,"How do you find out where TBD will be?  There is no website or contact info on this poster
"
1225,"Is this part of the logo?  If not, why is this double vertical line floating here?"
1232,excellent
1232,very clear
1232,very clear
1232,"I feel this area looks too informal and crowded like social media feed, that's a turn off. #I don't want public and private options either."
1232,This is nice and clear
1232,Not sure what this does exactly
1232,I don't want money pages to look ike facebook #and I don't want too much info on the page.Just the transactions.
1234,Good One. #Placing College Campus Photo Will Be An Added Advantage. Thanks.
1235,The background can be given different color.
1235,The logo is very nice and it is simple
1235,I might have chosen different color for him
1235,Hand is very simple it can be given different color at wrist
1235,Remove the empty space
1235,No need of empty pace
1235,I like the font very much
1238,Thanks.
1238,Profile Picture Should Be Must And It Should Be Authenticated.
1238,Help With Scroll Down Options
1238,Website Can Be More Colourful/Informative for a professional Approach. 
1240,make this a brighter color so it shines above everything else on the flyer.
1240,i like the design on the partners dancing #but some if it seems a little sketchy try to sharpen it up.
1240,make it big enough to stand out and be remembered.
1245,black colors to be changed to multi colors
1252,"I like the color a lot.
"
1252,good solid logo.
1253,I don't like the color scheme. I understand they went with shades of green because its parkland and all that but its still just seems boring to me.# could use a little variety 
1254,The hair protrudes a little too much.
1254,"I really like the interplay here, with the switching of positive and negative space."
1254,I feel like there needs to be a bit more space between these two words.
1254,Consider aligning these left.
1254,"Either this is an old poster, or it needs to be updated for the current year."
1255,"The text could be a little bigger here
"
1260,"The design looks simple and easy to understand.# The pay/charge options at the top center is convenient and allows easy access to the most important feature. #There seems to be a lot of empty space to the right of the list of friends' payments that seems a little distracting,# maybe the table could be shrunk or the size of each item could be increased (text size, image size, etc?).# There don't seem to be any buttons to 'send' things (ie it looks like comments are submitted by typing the comment then hitting enter) which might confuse some users who are less tech savvy than others. #It's difficult to comment on the design of the pay/charge buttons without a working demo but the critique is the same. #Overall this is a straightforward and well designed page."
1262,For some reason it looks too much like Facebook. It would be nice if the interface is more differentiated.
1263,"Is this for the name of the ""someone"" or the amount that is being paid/charged? # Maybe specify with ""Amount to pay or charge someone"" or ""Person to pay or charge something."""
1263,"Are these the only social media options available, or are others (such as LinkedIn) available if the specific user links them to his profile? # Maybe add an option to ""View More"" or for the user, ""Add More""/""Connect An Account"" if he wants to."
1263,"Is this a link to the user's profile?#  Specify this - ""Milford Meade's Profile"" or ""My Profile"" would be helpful."
1263,"It mentions what is next, but does not give an obvious indicator what the user has previously completed.#  To help them remember where they left off on the checklist, maybe add ""JUST FINISHED: <previous task>"" above or below ""NEXT UP: <next task>."""
1263,"Also allow users to have ""Friend Groups"" so they can sort their friends.  It could be a link right next to or below this ""Friends"" link, just to make it easier to find a specific friend."
1265,"the small letters in white colors should be still bright,# green color background should be changed to still light"
1266,"""Illini Dancesport"" and ""Dance"" should be on separate lines, because they blend together a bit.# I feel as if the Time/Place information could be formatted a bit better. The information blends together.# It might be best to left justify that information, instead of right justifying it (which ends up being in the center of the page)."
1270,"This area is clickable but it isn't clear where it goes to.
"
1270,"A link like this, for prospective students, should be prioritized more. This is small and should be larger and given more emphasis.
"
1271,her teeth look a little yellowed
1274,I'd clean up the dancing couple image a bit. It looks like somebody rushed through it.# List the styles of dance that the lessons will teach
1275,"Definitely could have a dynamic main image that slides with different content.
"
1275,Space here can be used for something.
1275,Dates could be useful for how recent the news is
1277,"I like the way it feels like a facebook design, it makes it feel familiar. #A different color would be nice, however. That blue is very over used. #Also I hate getting started checklists. Especially because if you don't particularly want to bug friends to join it just sits there forever so some way to dismiss it would be nice. Or at least not have the ""Invite some friends item.""  #But otherwise, looks very interesting and intuitive."
1280,This area should be aligned to the left instead of out of sync.  
1280,There is too much open space here
1280,It would have been more classy to use a simple black and white image and make the image smoother.  It's too jagged.
1280,"There is a lot of empty space here, #but the black is elegant"
1280,Keep text to one color
1280,White text would be better rather than a variety of colors
1280,Your logo should be larger in order to draw the eye in and create interest in the organization.  You want people to remember it!
1284,"Very plain, color does not go well with green above
"
1284,"Weird design. #The GO AHEAD, and then all lower case grow....could be done better"
1284,May be better to show a group of students in a natural campus setting..
1284,Should have address at the bottom along with phone number
1284,"Wasted space, ugly color"
1288,I think the ad should be of real people. It should be more fun and colorful too to show how fun dance can be
1291,"Lighter Back Round
"
1291,Nicer Design 
1291,the brand name is not indicative of financial services offered
1291,colours look like paypal or facebook and they need to be different
1294,"The design works like a social media, so it is possible for people to plant a virus in the profile using the comment section and then hack the account easily. #Also, as compared to user, some people don't want transfer of amount to be associated with social media, as they don't want to tell others why they transferred or how much they transferred ."
1298,Important
1298,I hope there a security setting here because I don't want everyone to see what I'm buying
1298,Looks too much like twitter or facebook.#  Change the layout or colors.
1300,Background color should be a different color. black is so boring
1300,Needs more description to make people want to attend.
1301,"I'd much rather have a date and time stamp showing when payment was sent, versus the social media style of ""30 minutes ago,"" ""2 days ago"" etc. It comes across as unprofessional and makes it harder to track. "
1304,"I don't care for the graphic of the two people dancing, it seems too amateur for me. It isn't a good pic in silhouette.# Also, the date and time should be much bigger so it catches peoples attention right away. #Also, the word ""Ballroom"" should be more prominently featured in the Header, or Title of this poster. "
1307,"I really like this design. There's only two minor things that I'd adjust and fix.# For starters, there's specs of white in the purple that are unattractive & really stand out against the perfectly smooth, black background.# I'd also choose a lighter shade of grey for the ""Join us for an evening of..."" section to make it better stand out in poorly lit areas or students with difficulty seeing (for any reason.) Possibly even a lighter shade of purple to compliment the art & ""DANCE""? "
1310,This is decent. # The colors do pop and it's  simple. 
1311,I'm not sure why their needs to be a social media money exchanger?  Why do we need to see friends??
1311,I'm not understanding this either. Am I actually supposed to comment on people's money exchanges? I'm not sure that would work or catch on.
1311,I see what you're going for but the facebook of money exchanges just doesn't seem like it would be a hit. I wouldn't use it.
1311,"Find friends should show how you can actually find friends, email? name?"
1311,"I'd move the text over slightly,# it looks like there is a bit too much space next to the logo even though it's probably the same as the right."
1314,"I like the top half. It's easy to read and eye-pleasing.# The follow text on the right side, bottom half could be better placed. #The text choice makes it look amatuer-ish. #I would pick and stick with one font for the information. 
The silhouettes is a bit messy, you can see where the poor clipping is, the edges that show some white. It should be better cleaned up.
#
I like the color scheme, the light purple and yellow.  "
1317,"I am not sure what this does.
"
1317,"I like the simple layout,# but looking so much like facebook makes me not trust it."
1318,"Maybe add a little separation between ""dancesport"" and ""dance"" to make it a little more clear"
1319,"The default avatar seems a bit dark. It could be lighter, possibly with more color. #The Pay and Charge buttons would stand out more if they had bright colors."
1320,"I would personally stick to one solid color instead of  the links having a gradient background and the overall background being a gradient.# A good idea would be to take the gradient background off of the links and choosing a solid color that matches the entire cells gradient, that would show up on link hover.# Otherwise the rest of the design looks nice. "
1325,"Too many different colors of green; choose a more concise palette and then stick with it. #The menu items on the top left probably shouldn't not be gradiented because they don't clearly indicate their functionality.# A better choice would be to have them all be consistent color when not moused-over and then turn a different shade when an individual one IS moused-over. #Finally, what's up with the background being a gradient itself? There are more than enough gradients on the page already, it feels reallllly overboard."
1328,"I don't think I would have picked the color scheme of black and purple. It should be more vibrant, in my opinion."
1328,This wall of text is kind of just on the background and does not really stand out to be read easily.
1329,"If the poster is meant to be for students interested in ballroom dancing then that should be mentioned before mentioning ""dance performances"". People that are interested are probably more interested in the lessons and might be thrown off if they don't read the whole sign such as on the way to class.# The font color for the ""join us"" part seems dark and should be brought to the forefront of the poster with a brighter color."
1334,I really like the overall color scheme# but I see there are some slight issues with the icon in the right hand corner. If you look close you can see white splotches where if looks like the black background was suppose to fill in and it wasn't done very sharp or blended together.
1338,"There are some white specks surrounding the silhouette of the man and woman dancing. Doesn't make it look to professional. Fill in the white specks around the hand, head, neck, and collar of the man. #Also, not quite sure what the white double vertical line is to the right of the logo. It seems out of place and holds no relevance. "
1340,Change the colors
1341,Even though it's done by a lot of websites theres is a reason most websites put the profile info and everything that goes with it on the left side it makes it easier to seperate it from the actual page in your mind when reading left to right.# Other than that. It has a nice color scheme and an easy to understand interface.
1342,Change the colors
1345,"I think it needs an obvious way of making a transaction private, for one.# It seems a little unpolished overall, but very clean, simple, and easily understandable."
1348,Make sure there is some way to make the payment transfers hidden so that you don't automatically show everyone who you are giving money to.
1351,Does this verify its users? I see that having a picture isnt required and that makes me believe it doesn't verify.
1362,"The outline of the dancers on the bottom left is a bit strange looking to me. #In order to use that art on the design, I would make it a bit smaller and move it more towards the top of the page, near the top text. I would then remove the excess black space form the bottom of the design.# Perhaps more vibrant, yet very similar, colors would also help make the design more pleasing to the eye.# Other than that, I think that the design serves it's purpose well. "
1363,"This application looks like just chat application,#there is no way one can determine how trusted this application to deal with monetary transactions in a secure way,how safe it is?#there should some information how many successful transactions have completed until now in a secure manner.#There should be some trusted symbol or verified by some agency to give authorization,trust and about safety to people who want to do monetary transaction. "
1365,"I don't like the slogan
"
1365,need more color differentiation
1365,"aesthetics of this top bar is terrible. 
"
1367,It is very simple and very nice. I like how the dancers stand out. They are in motion and the color is very nice also.
1370,I actually use venmo and absolutely love it. I don't think anything needs to be changed. #Maybe change the blue in the names to a little darker
1371,"Maybe the amount transferred should be listed in the timeline displayed on this page. Although I guess this is showing transfers between people that is not the user logged in, so I guess that wouldn't make sense.# It is a little too close to Facebook. Maybe something should be done to distinguish it. #It may look better without the borders around the timeline. "
1374,"The design is fine but the picture of the dancing people looks low quality and weird with all the white spots on it, it should be cleaned up.# Also more information might be helpful."
1375,"Font style can be improved, some stylish font style, colours are not very much attractive. #For lavender colour logo, font styles can be matched as navy blue or violet.#The logo should be fixed in right side top corner and should be maximised.  #Dance Openhouse 2015 should be centered and should come in second line"
1377,"I like the design,# but the lines could be a lot smoother. Seems like there's too much white in it? Or is it just my computer. "
1383,its looks bad.this page was not attractive
1388,I like the overall design# but since my favorite color is blue I would rather see the blue on black background as the main theme.# The image of the couple dancing could also be sharper and clearer. #There is also a lot of blank space that could be utilized by making the text font bigger.
1390,"I like the over all design but I would like to see a bit more variation in color and font sizes or styles.   It is rather plain in a bad way. #  And, I am not sure if this is supposed to be a donation site or a money transfer site more akin to Western Union. #  But, I am not sure I would like a facebook style wall to communicate with friends about borrowing or giving money.    I think there would need to be a greater degree of privacy and security. 
"
1392,"color not attractive!
"
1392,"text appears dim.
 "
1392,options not mentioned
1392,"Instagram can be added
"
1392,Google plus can be added
1392,You Tube channel can be added
1392,Use bigger font
1392,Brighten the color
1406,"Tim Horine
"
1409,I've never been a big fan on the social media aspect on many sites nowadays.# I feel like the main page here should be simpler and at least show the dollar amount that was transferred to a person.
1410,The ad is nice# but there is no name of choreography who is goi to teach .no name of a performer#.there is no detail of type of dance #.this ad should include more detail of dance lesson n dance teacher# .the ad should include contact no so that peiple can call and get more details .
1412,"How secure are the transfers?  Does your info have to show or can it be hidden?
"
1414,Does this site use facebook to find your friends?
1420,"slightly bigger font, #add a little orange to compliment all the blue."
1421,"change font style , font color
"
1421,"move the entire line to top left corner , it seem more better."
1421,move this logo to top right corner .
1421,change background color to Dull Black.
1421,this was good.
1421,it was good .
1421,move this paragraph a little bit down 
1421,"change tie color , prefer dull color , it it doesn't match remove tie from the art  , just keep the neck collor."
1421,"put the logo here in dull white color , or transparent ."
1421,add rose flower to the women art at hair
1421,add wrist watch.
1421,add music symbol.
1422,It would be nice to see what has already been completed on the checklist and what is left going forward.
1422,It would be helpful to see peoples names under their picture here.
1422,The below thread reminds me of facebook which seems reliable
1423,"It is unattractive.# According to my opinion, you have to have colour combination.# you have to change logo and gives 3d look to logo.  "
1426,looks like facebook
1426,looks like kick starter
1427,I wouldn't want people seeing who I am paying
1428,try to reduce the size of this so that the other image get more space
1428,use big size font for easy noticing
1438,"Pay and charge buttons should be color coded like Pay bright green and charge bright brown.#
Text in the other tabs like home, find friends is too small, it should be larger.#
There should be a favorite tab in which regularly used members can be saved.
"
1453,Remove the invite friends requirement; I know waht the site is meant for but it shouldn't be required.
1453,Have an option to remove comments; just say who paid who.
1458,"Clean and simple design,# what about the color green instead, since its about money after all.#It appears that you can like status's but you cannot share them. #I think the design is familiar, it just needs to be a little more exciting. There doesn't seem to be anything going on. A younger audience would be quite bored."
1459,I'm not sure how this differs from the box below where you type a name.
1459,I think the entire friend feed is unnecessary. It's no one else's business who pays whom and I am not interested in the commentary.
1459,"Same thing here - I don't think there's a need to ""friendify"" or ""social"" this app."
1465,"wasted space
"
1465,maybe a different set of dancers
1465,use a better color and make font bigger
1465,use a different color
1465,I like the background color
1466,"I think this should be ""four"" instead of ""4.""  It would be more elegant."
1466,I'm not sure about the white and yellow.  I think it should be one or the other . 
1466,"I think this logo is very well-done.  #Overall, the poster is very good."
1476,Perhaps not as much focus on this one girl and more of a group effort or a student standing would be better.
1476,Nice gradient here! Looks very smooth.
1477,I like this but think it should go underneath the pay/charge option.
1477,The whole profile bar should be in the center above pay/charge for better convenience.
1480,A way contact the organizers to get information
1480,Use different colors for the man and the lady to differentiate their silhouette. 
1480,Name the 4 styles of ballroom dance
1481,"Theres a lot of green at the top of the page. Different elements blend together.
"
1481,"Theres a lot of green at the top of the page. Different elements blend together.
"
1481,The arrow to the left focuses attention on this picture.# I think something more relevant would be better suited than one individual girl
1482,"There are white spots all in this, might want to remake or improve this design."
1482,"Bring this text down a bit, and pull it to the right a tad."
1482,Increase logo size
1482,"Need's some sort of contact information
"
1482,Purple color works very well with the color scheme
1483,what?
1484,is Deadpool currency?
1484,"can I randomly charge people stuff?
"
1485,"One hand is purple, the other black, would look better if his hand on her back was purple with a black outline."
1485,this logo is too small to read the text
1485,"to be determined is too vague, there needs to be a phone number to call somewhere on the poster
"
1485,"both have a starting time, but what is the ending time ?"
1489,too boring... need pics
1491,Nice logo
1491,Is this animated? Looks cool.
1495,"Already have a ""Visit us here"" which is the same thing
"
1496,I feel like this newsfeed really isn't necessary. I wouldn't want my other friends to know that I sent money. That's private to me.
1496,The design is very nice for the website overall. It looks very professional.
1497,"I'd move this to the bottom
"
1497,"This area should be on the left. This is valuable wasted space. 
"
1497,"Wasted space
"
1497,This should be the banner going across the top
1498,Really like this picture here
1498,Maybe make the word free bigger
1498,Put something here to show off the fact that this is all free
1498,I would put the time and place last.# Put the fun information up top
1499,User photos should not be required; my offline identity is intentionally private. There are other ways of verifying ID.
1499,Add Google+ or even LinkedIn.
1499,"If this is similar to a Facebook status update that everyone can see, at least make it optional to display items purchased.  This should not be required to be public."
1502,Too much empty space here.
1502,too much empty space in this section.
1505,too much empty space here.
1505,too much empty space.
1506,These boxes being stacked vertically looks unappealing. The grid view is not good
1506,What is this blank space for? The color doesn't match anything either
1506,Campus events and In the news section is nice but hyperlinks could use more information other than just headlines
1507,"Don't leave the ""OPEN HOUSE 2015"" text so thin - make it wider if possible, it looks really cramped.
"
1507,"I can see where you're going artistically with this, but this dance motif just looks really weird with the black overlays.  Consider changing that."
1507,Establish a location first.
1507,Wall of text isn't a good idea - use bullet points!
1507,"Strange alignment of text, consider aligning to the left"
1507,"""ILLINI"" - ?  Is this a colloquially used abbreviation for Illinois?"
1507,Text is way too small.
1510,"the color is too neutral
"
1510,I do not like the color
1510,there should be a FAQ page
1510,"I like this feature very useful , provides confidence in use"
1510,"I think the option add photo It should not be available here ,only in account settings"
1510,in the white area seems a little too empty
1514,I dont like the positioning of the name of the company and how it is lined up with DANCE# It would look better placed higher
1515,Require a user to have a profile picture.  That way its more secure since you know who the other person is.  
1515,"I dont like these bars, it makes me feel like something is incomplete with my account.
"
1516,This whole lower right are is ugly and plain.
1516,The font color doesn't work well with the green theme
1516,The whole bottom half of the page feels wasted. It is also much cheaper looking than the rest of the site
1516,"I appreciate the high amount of information that is easily reached,# but a few more picture would be nice. #ESPN.com is a great example of picture and information dense site."
1516,A lot of really good sites have a slide show here that shows multiple options over time.
1521,this part is too big and the name of the college is too small
1521,name is too small
1521,Font here seems sort of small to read (especially for parents who are older and might not be able to read it as well)
1521,A picture of the campus would be really nice here. there are only two pictures!
1522,"i recommend having different color text to indicate who paid
(ex:red)"
1522,"i recommend having a different color for those who received payment 
(ex:green)"
1524,"Choose colors with higher contrast, the colors blend too much."
1524,"Move the paragraph lower to the bottom, too much ""white space"" below.#
Font color should match either the white or beige."
1524,"Move ""Dance"" and ""Open House 2015"" further to the right to make the spacing match the left hand side."
1524,Move the entire line up further.
1524,"Choose a higher quality image here, preferably something vector based."
1524,Same as above -- needs higher contrast.
1524,Should be larger so that the font is somewhat readable -- page is large enough to not have to force items to fit.
1526,I would be confused here as to when I get to choose whether to pay or charge someone.
1526,"Nice, simple nav menu, very clear"
1526,"I don't like these checklists, they pressure me to do more within than app that I may want to"
1529,A picture would make me feel more secure
1530,"Black and Purple is a fine color scheme, but needs to POP more! #Perhaps the dancers should be larger!
"
1530,This looks like a cheap photoshop/edit of the outline of the dancers. Lets add something else to the outline to make it pop more!
1531,This icon should be shifted to the right more. #There is too much empty space between the icon and the 'open house 2015' text.
1531,Move this block of text down a half an inch. #There is too much black space at the bottom.
1532,"This would look better at the bottom.
"
1532,"I would move this to the top.
"
1532,"wasted space
"
1532,i like this section.
1533,This space could probably be better utilized
1533,"Really looks a lot like Facebook's UI, not sure if that was intentional?"
1533,Would be cool if we could see payment history somewhere
1533,"What are people liking, sharing, or tweeting?"
1534,"Maybe a ""switch user"" button?
"
1534,about and contact links go here
1535,the site in general looks very plain.
1535,I'm not sure if you really need to ask friends to come. The ones you need you can just tell them to download.
1535,is there a safety net to who you can send/receive money from?
1535,Kind of weird seeing everyone's business...
1536,"Terrible slogan, makes it sound like a preschool
"
1536,"Similar links to the side menu, two menus seems confusing and redundant"
1537,Too much spacing here
1537,Color doesn't go with rest of page. No text - just blank?
1537,This list should be in reverse order. Newest first.
1537,Text here is too small to read
1537,3rd and 7th.
1538,"Where is this list of friends generated from? Social media, contacts, etc.?
"
1538,"Easy design to follow and read.#..can this be customized so you can keep certain transactions private?
"
1538,"What is the benefit of sharing the transactions that you make with friends/social networks??
"
1538,"Instagram should probably be here as well, since it's a huge social media platform
"
1538,"Accounts need to be authenticated and verified somehow, similar to PayPal
"
1539,Time/Place should be separated so that it says Time: [the time] and Place [the place]
1539,The bar in the picture should be removed. It seems a bit cluttered.
1539,Circle logo in the upper left corner may look better in this spot here.
1541,"This box needs to be more narrow, the text doesn't even fill it."
1541,Don't like the contrasting font color here. 
1541,This takes up too much space and doesn't seem like it is very important.
1542,add more columns of information too much white space
1542,add more categories up top and possible icons with short cuts 
1542,I like the logo 
1543,Not sure if place is covered with dots? Can't read it.
1543,"Who is performing?
"
1543,"How long is this?
"
1543,"I don't like this design. It doesn't look smooth.
"
1543,This doesn't stand out enough.
1544,"This section would probably benefit from a small calendar of the current month with highlights on dates that can be hovered over to get info.
"
1544,"This seems a little crowded, but on a full screen it might be better."
1544,"I know it's located somewhere in here somewhere, but a section on the types of degrees available should be an upper-level option"
1544,The info on degrees could be here as well
1544,This seems good the way it is
1546,I think it would look better without the gradient here
1546,"Not the best model, no offence"
